;Municipio;eff;Ano;Código da Grande Região;Nome da Grande Região;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome da Unidade da Federação;Nome do Município;Região Metropolitana;Código da Mesorregião;Nome da Mesorregião;Código da Microrregião;Nome da Microrregião;Código da Região Geográfica Imediata;Nome da Região Geográfica Imediata;Município da Região Geográfica Imediata;Código da Região Geográfica Intermediária;Nome da Região Geográfica Intermediária;Município da Região Geográfica Intermediária;Código Concentração Urbana;Nome Concentração Urbana;Tipo Concentração Urbana;Código Arranjo Populacional;Nome Arranjo Populacional;Hierarquia Urbana;Hierarquia Urbana (principais categorias);Código da Região Rural;Nome da Região Rural;Região rural (segundo classificação do núcleo);Amazônia Legal;Semiárido;Cidade-Região de São Paulo;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)";"Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)";"Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)";"Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)";pib;"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios;pib_agro/pib;cluster
1;1100015;0,976546742;2017;1;Norte;11;RO;Rondônia;Alta Floresta D'Oeste;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;169623;27342;108357;154926;460249;25125;485374;19081,43;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;288706,8;8146,8;17894;28521;2884;8550;13460;6145;2405;517;665;1052;178;511;511;1163;559;2598;53914;2,30313683;155230;9380;15353;39555;2596;60873761,25;191374;169623,26;0,349469193;5
2;1100023;0,949095226;2017;1;Norte;11;RO;Rondônia;Ariquemes;;1102;Leste Rondoniense;11003;Ariquemes;110002;Ariquemes;Polo;1101;Porto Velho;do Entorno;NA;;;NA;;Centro Sub-regional B;Centro Sub-regional;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;165217;326362;930388;634591;2056557;231353;2287910;21313,62;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;243741,3;10575,8;21181;19195;2927;7082;15402;4738;2344;501;635;351;320;329;329;420;85;2772;46887;5,34235977;188213;4325;11918;20499;2480;88515333,67;153569;165216,94;0,072213042;6
3;1100031;0,974910853;2017;1;Norte;11;RO;Rondônia;Cabixi;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;63022;4771;21875;43150;132817;5293;138110;22189,9;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;93780,2;35088,6;37050;58117;1075;3085;7515;2220;865;247;417;200;176;307;307;258;33;880;53396;20,31724138;151613;8733;117023;95530;991;28374693,57;146924;63021,99;0,456317356;6
4;1100049;0,971401616;2017;1;Norte;11;RO;Rondônia;Cacoal;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;Polo;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Sub-regional B;Centro Sub-regional;5105;Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO);Região Rural de Centro Sub-regional;Sim;Não;Não;255060;224442;876362;521368;1877232;205529;2082761;23532,16;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;185338,2;8681,3;20265;15831;3805;9410;8194;6322;3088;465;539;1204;363;378;378;1172;900;3579;36969;0,658906;101349;6771;15588;33499;3595;63506972,37;165834;255059,85;0,122462371;5
5;1100056;0,843884955;2017;1;Norte;11;RO;Rondônia;Cerejeiras;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro de Zona B;Centro de Zona;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;61940;21925;186474;107819;378158;61087;439245;24492,33;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;98701,3;40378,3;43402;93796;718;2182;4135;1579;603;303;605;199;185;167;167;340;46;662;88470;184,3571429;142529;1152;111502;132284;706;54799084,08;202533;61939,89;0,141014445;3
6;1100064;0,985697676;2017;1;Norte;11;RO;Rondônia;Colorado do Oeste;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;78346;29208;91683;109525;308762;19615;328377;17781,84;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;111085,8;2512,1;3566;14972;1673;4891;5402;3457;1434;248;367;203;146;548;548;580;58;1473;23835;24,44366197;81310;3953;7888;7063;1545;56741752,15;129799;78345,65;0,238584462;6
7;1100072;1;2017;1;Norte;11;RO;Rondônia;Corumbiara;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;227123;10270;27788;57591;322772;10032;332804;38434,44;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;228521,4;50163,7;62170;97935;1489;5921;22521;4219;1702;306;554;173;100;299;299;636;16;1290;113242;130,5539216;289281;5690;99183;173133;1434;106279248,3;571195;227123,26;0,682453516;6
8;1100080;1;2017;1;Norte;11;RO;Rondônia;Costa Marques;;1101;Madeira-Guaporé;11002;Guajará-Mirim;110004;Ji-Paraná;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;62852;5819;38854;98159;205684;7194;212879;12234,42;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;158332,2;2282,2;5636;10799;1495;4425;6418;2842;1583;269;297;120;90;550;550;513;38;1216;21361;7,52834008;76339;7181;2154;5745;1398;31853326,53;91310;62851,88;0,295246971;6
9;1100098;0,873026659;2017;1;Norte;11;RO;Rondônia;Espigão D'Oeste;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;do Entorno;1102;Ji-Paraná;do Entorno;NA;;;NA;;Centro Local;Centro Local;5105;Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO);Região Rural de Centro Sub-regional;Sim;Não;Não;124625;47022;163761;186837;522246;44116;566361;17146,88;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;171616,9;5031,2;7691;12342;1999;6715;17359;4189;2526;334;405;206;120;241;241;301;99;1914;29166;9,6187175;87018;3503;7710;10774;1850;44971872,58;140380;124625,44;0,220045942;3
10;1100106;0,866286427;2017;1;Norte;11;RO;Rondônia;Guajará-Mirim;;1101;Madeira-Guaporé;11002;Guajará-Mirim;110001;Porto Velho;do Entorno;1101;Porto Velho;do Entorno;NA;;;1100106;Internacional de Guajará-Mirim/Brasil - Guayaramerín/Bolívia;Centro de Zona B;Centro de Zona;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;47074;25188;324254;275442;671956;103238;775195;16336,74;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;49583,5;1840,3;5468;1516;545;2780;1633;1767;1013;91;97;68;58;262;262;547;40;409;5817;2,568;15910;1068;718;4723;576;6076417,09;28970;47073,51;0,060724734;3
11;1100114;1;2017;1;Norte;11;RO;Rondônia;Jaru;;1102;Leste Rondoniense;11004;Ji-Paraná;110003;Jaru;Polo;1101;Porto Velho;do Entorno;NA;;;NA;;Centro de Zona A;Centro de Zona;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;172325;221454;505476;316105;1215359;139374;1354733;24247,52;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;226607,5;4718;7526;10182;3547;8390;10284;5852;2538;262;321;200;225;575;575;1120;64;3333;32083;1,7129001;105090;8066;2527;5609;3392;73263530,75;177910;172324,51;0,127201825;5
12;1100122;0,973112229;2017;1;Norte;11;RO;Rondônia;Ji-Paraná;;1102;Leste Rondoniense;11004;Ji-Paraná;110004;Ji-Paraná;Polo;1102;Ji-Paraná;Polo;1100122;Ji-Paraná;Média concentração urbana;NA;;Centro Sub-regional A;Centro Sub-regional;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não;142861;365557;1412419;732031;2652867;409294;3062162;23081,56;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;181594,1;2299,8;5301;9996;2544;7803;13389;5324;2479;312;431;343;340;740;740;1052;159;2471;27024;7,79310345;90967;3212;2452;4487;2413;77580328,41;135145;142860,71;0,046653544;6
13;1100130;0,940588473;2017;1;Norte;11;RO;Rondônia;Machadinho D'Oeste;;1102;Leste Rondoniense;11003;Ariquemes;110003;Jaru;do Entorno;1101;Porto Velho;do Entorno;NA;;;NA;;Centro Local;Centro Local;1303;Região Rural dos Centros de Zona de Eirunepé e Lábrea;Região Rural de Centro de zona;Sim;Não;Não;183427;37754;118453;219193;558827;28930;587758;15223,33;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;227207,2;10600,9;25600;20015;4228;11820;10850;7309;4511;257;341;498;448;408;408;1887;137;3967;34667;2,0053041;105912;9841;13894;27794;3791;62157069,89;112310;183427,12;0,312079325;5
